date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2010-01,-2.40,-0.40,-4.46,-4.85,-1.16,-7.88,-6.77,-4.45,-1.83,-0.01,-0.65,-0.29
2010-02,2.66,7.39,5.85,2.59,4.05,4.83,2.76,-0.42,4.29,0.38,2.91,4.64
2010-03,5.80,9.38,7.80,3.20,4.08,6.67,7.63,3.12,6.25,3.63,8.31,7.76
2010-04,-1.02,7.27,4.16,4.08,1.30,2.29,3.41,2.85,2.52,-2.18,1.13,2.88
2010-05,-5.73,-9.07,-9.26,-10.23,-6.79,-7.78,-5.85,-6.30,-5.41,-8.08,-9.09,-8.16
2010-06,-1.91,-10.68,-6.49,-6.26,-4.47,-6.17,-3.84,-0.71,-9.11,-1.66,-7.22,-5.33
2010-07,7.36,15.38,10.36,7.69,8.72,7.33,9.59,6.81,4.61,2.14,6.53,7.05
2010-08,-1.17,-9.58,-7.36,-3.44,-2.00,-6.53,-1.99,0.36,-3.97,-1.70,-8.49,-4.79
2010-09,6.15,13.08,12.30,9.20,6.06,12.54,7.88,3.65,12.15,9.00,7.24,10.60
2010-10,4.40,8.54,4.55,4.58,6.43,6.43,4.56,1.86,2.41,1.94,1.69,2.54
2010-11,-0.07,7.32,2.81,5.51,-1.19,-0.71,-1.89,-1.36,4.18,-3.34,-0.30,1.65
2010-12,4.35,8.90,7.31,9.41,6.31,5.96,6.59,3.23,3.21,5.45,10.56,7.22
2011-01,-2.37,-0.24,4.41,6.93,0.08,3.92,0.05,2.18,-0.86,-0.72,2.54,1.44
2011-02,4.72,-2.15,3.54,7.63,3.20,2.42,7.40,2.42,2.26,3.33,2.72,3.28
2011-03,3.03,1.87,2.36,2.11,0.72,-1.44,1.68,0.92,1.10,2.26,-1.58,-0.31
2011-04,4.61,2.78,1.99,1.58,4.93,3.10,3.26,4.00,4.51,6.25,0.67,1.73
2011-05,2.04,-3.58,-2.99,-4.51,-0.43,-1.75,0.77,1.32,0.88,1.99,-2.67,-2.62
2011-06,-1.07,-1.09,0.01,-2.31,-1.89,-2.45,-1.38,-0.34,-0.88,-1.87,-2.30,-1.81
2011-07,-0.42,-9.03,-5.95,0.49,-2.31,-0.53,-4.98,-0.33,-0.64,-3.67,-3.91,-3.21
2011-08,-0.66,-12.23,-7.60,-9.91,-3.17,-6.77,-5.04,0.20,-2.88,-3.13,-9.34,-6.29
2011-09,-4.87,-13.85,-11.99,-12.23,-9.11,-4.74,-5.72,-1.61,-3.89,-3.97,-11.25,-10.86
2011-10,6.30,23.07,16.42,16.25,9.87,11.77,7.61,6.70,9.75,5.52,13.47,13.77
2011-11,1.44,-8.68,1.84,2.15,0.46,-1.96,0.30,1.01,1.07,1.30,-3.16,-0.39
2011-12,1.89,-1.03,-1.79,-0.35,1.25,-1.43,3.12,2.91,0.90,3.47,1.76,1.02
2012-01,0.39,13.66,8.15,1.01,4.04,8.47,2.37,-2.71,4.06,3.43,7.35,7.04
2012-02,3.93,5.95,3.97,6.52,3.71,6.64,5.07,1.30,3.12,1.25,6.51,0.77
2012-03,3.90,1.38,-0.02,-3.27,1.98,4.66,2.38,1.48,4.66,3.95,7.00,1.61
2012-04,0.81,-7.30,-1.02,-1.57,-0.19,-2.10,1.69,1.70,0.95,0.60,-2.35,-0.56
