Strategy,Regime,Months,Annualized Return,Annualized Volatility,Zero-Rate Sharpe,95% CVaR Loss
Equal Weight,High volatility,62,0.1693967824999938,0.1949226018205134,0.9043105861967998,0.1062904818268263
Equal Weight,Lower volatility,67,0.0656721555334141,0.10846967492009311,0.6413712564540613,0.06021899512761274
Sample MVO,High volatility,62,0.13887110586027518,0.2049283351356156,0.7361352844998262,0.09475389964120047
Sample MVO,Lower volatility,67,0.02153604137677312,0.11592179671548392,0.24231683485189878,0.08549493601452945
Shrinkage MVO,High volatility,62,0.09441063105562919,0.15140374929519437,0.6734794658626038,0.09338138976066032
Shrinkage MVO,Lower volatility,67,0.06900219951453779,0.09065389590060292,0.7827288503328484,0.0513369403682827
Historical Mean-CVaR,High volatility,62,0.14336109000825603,0.16144168737656225,0.9139555487527644,0.08528799072641358
Historical Mean-CVaR,Lower volatility,67,0.05191910820600376,0.0976699206909754,0.5678097669306796,0.06242577725436548
Wasserstein Robust CVaR,High volatility,62,0.14479800084631655,0.1678754385178282,0.892962950556484,0.09280252539798702
Wasserstein Robust CVaR,Lower volatility,67,0.05889941261287701,0.0982466986018933,0.6328354132977742,0.06512090941977511
