date,sample_mvo_gamma,shrinkage_mvo_gamma,robust_epsilon,sample_tuning_success,shrinkage_tuning_success,robust_tuning_success
2015-01-01,50.0,20.0,0.004,True,True,True
2015-02-01,50.0,50.0,0.002,True,True,True
2015-03-01,10.0,1.0,0.002,True,True,True
2015-04-01,2.0,1.0,0.002,True,True,True
2015-05-01,10.0,1.0,0.002,True,True,True
2015-06-01,10.0,2.0,0.0005,True,True,True
2015-07-01,5.0,1.0,0.001,True,True,True
2015-08-01,1.0,1.0,0.001,True,True,True
2015-09-01,1.0,50.0,0.002,True,True,True
2015-10-01,50.0,10.0,0.002,True,True,True
2015-11-01,1.0,1.0,0.002,True,True,True
2015-12-01,1.0,5.0,0.002,True,True,True
2016-01-01,1.0,10.0,0.002,True,True,True
2016-02-01,5.0,10.0,0.002,True,True,True
2016-03-01,10.0,5.0,0.002,True,True,True
2016-04-01,50.0,20.0,0.002,True,True,True
2016-05-01,50.0,5.0,0.002,True,True,True
2016-06-01,50.0,5.0,0.002,True,True,True
2016-07-01,50.0,2.0,0.002,True,True,True
2016-08-01,50.0,50.0,0.002,True,True,True
2016-09-01,50.0,5.0,0.001,True,True,True
2016-10-01,50.0,50.0,0.0005,True,True,True
2016-11-01,50.0,50.0,0.0005,True,True,True
2016-12-01,50.0,2.0,0.002,True,True,True
2017-01-01,50.0,5.0,0.002,True,True,True
2017-02-01,50.0,5.0,0.002,True,True,True
2017-03-01,50.0,50.0,0.002,True,True,True
2017-04-01,20.0,1.0,0.002,True,True,True
2017-05-01,50.0,2.0,0.002,True,True,True
2017-06-01,50.0,2.0,0.002,True,True,True
2017-07-01,50.0,5.0,0.004,True,True,True
2017-08-01,50.0,50.0,0.004,True,True,True
2017-09-01,50.0,20.0,0.002,True,True,True
2017-10-01,50.0,5.0,0.002,True,True,True
2017-11-01,2.0,50.0,0.002,True,True,True
2017-12-01,5.0,10.0,0.004,True,True,True
2018-01-01,2.0,10.0,0.004,True,True,True
2018-02-01,5.0,1.0,0.004,True,True,True
2018-03-01,1.0,1.0,0.0005,True,True,True
2018-04-01,1.0,1.0,0.0005,True,True,True
2018-05-01,2.0,1.0,0.0005,True,True,True
2018-06-01,1.0,1.0,0.0005,True,True,True
2018-07-01,1.0,1.0,0.0005,True,True,True
2018-08-01,1.0,20.0,0.0005,True,True,True
2018-09-01,5.0,2.0,0.0005,True,True,True
2018-10-01,5.0,10.0,0.0005,True,True,True
2018-11-01,20.0,50.0,0.0005,True,True,True
2018-12-01,10.0,2.0,0.0005,True,True,True
2019-01-01,2.0,1.0,0.0005,True,True,True
2019-02-01,5.0,2.0,0.001,True,True,True
2019-03-01,50.0,5.0,0.0005,True,True,True
2019-04-01,20.0,5.0,0.0005,True,True,True
2019-05-01,20.0,2.0,0.0005,True,True,True
2019-06-01,50.0,1.0,0.001,True,True,True
2019-07-01,20.0,50.0,0.001,True,True,True
2019-08-01,20.0,20.0,0.002,True,True,True
2019-09-01,50.0,10.0,0.0005,True,True,True
2019-10-01,50.0,2.0,0.0005,True,True,True
2019-11-01,10.0,1.0,0.0005,True,True,True
2019-12-01,10.0,5.0,0.0005,True,True,True
2020-01-01,10.0,2.0,0.0005,True,True,True
2020-02-01,20.0,1.0,0.0005,True,True,True
2020-03-01,10.0,50.0,0.002,True,True,True
2020-04-01,1.0,1.0,0.002,True,True,True
2020-05-01,5.0,2.0,0.002,True,True,True
2020-06-01,2.0,1.0,0.002,True,True,True
2020-07-01,2.0,1.0,0.002,True,True,True
2020-08-01,2.0,1.0,0.002,True,True,True
