Period,Strategy,Cumulative Return,Worst Month
COVID sell-off (2020-02 to 2020-03),Equal Weight,-0.22687932968803404,-0.15424303894399066
COVID sell-off (2020-02 to 2020-03),Sample MVO,-0.1928168753064381,-0.11691234300117281
COVID sell-off (2020-02 to 2020-03),Shrinkage MVO,-0.1929552769395828,-0.1150904696636928
COVID sell-off (2020-02 to 2020-03),Historical Mean-CVaR,-0.18011179589404658,-0.10680123421171676
COVID sell-off (2020-02 to 2020-03),Wasserstein Robust CVaR,-0.18556807768591266,-0.11274539115254889
COVID rebound (2020-04 to 2020-08),Equal Weight,0.3924276650074694,0.017201721512242835
COVID rebound (2020-04 to 2020-08),Sample MVO,0.6017300958625666,0.030866281216897617
COVID rebound (2020-04 to 2020-08),Shrinkage MVO,0.20673356330624304,-0.021758080824617165
COVID rebound (2020-04 to 2020-08),Historical Mean-CVaR,0.32935674299039475,0.006439510885783684
COVID rebound (2020-04 to 2020-08),Wasserstein Robust CVaR,0.37506732774903173,0.017538070065652563
2022 tightening sell-off (2022-01 to 2022-10),Equal Weight,-0.10857440079527969,-0.09154293870200883
2022 tightening sell-off (2022-01 to 2022-10),Sample MVO,-0.23341989679378705,-0.09004328142688214
2022 tightening sell-off (2022-01 to 2022-10),Shrinkage MVO,-0.08237299685562272,-0.08475207707532881
2022 tightening sell-off (2022-01 to 2022-10),Historical Mean-CVaR,-0.16183198283548617,-0.07539304685287875
2022 tightening sell-off (2022-01 to 2022-10),Wasserstein Robust CVaR,-0.18829684000973368,-0.09542448185045233
