,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2015-01-01,0.26866895240756805,0.0,0.0,0.0,0.0,0.1488611693080976,0.0,0.3128872039739079,0.19743998515928549,0.0721426891511411,0.0,0.0
2015-02-01,0.21424241996677662,0.0,0.0,0.0,0.0,0.2535851833648039,0.15510577409213022,0.3499999999999999,0.0270666225762894,0.0,0.0,0.0
2015-03-01,0.21424241996677662,0.0,0.0,0.0,0.0,0.2535851833648039,0.15510577409213022,0.3499999999999999,0.0270666225762894,0.0,0.0,0.0
2015-04-01,0.21424241996677662,0.0,0.0,0.0,0.0,0.2535851833648039,0.15510577409213022,0.3499999999999999,0.0270666225762894,0.0,0.0,0.0
2015-05-01,0.21424241996677662,0.0,0.0,0.0,0.0,0.2535851833648039,0.15510577409213022,0.3499999999999999,0.0270666225762894,0.0,0.0,0.0
2015-06-01,0.02200170301737638,0.0,0.0,0.0,0.0,0.08616437911527498,0.13121518299006005,0.3499999999999998,0.0606187348772892,0.3499999999999998,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.07853085661651933,0.12040221062327197,0.3499999999999998,0.10106693276020896,0.3499999999999998,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.07853085661651771,0.12040221062327251,0.3499999999999998,0.10106693276021017,0.3499999999999998,0.0,0.0
2015-09-01,0.12318984366113472,0.0,0.0,0.0,0.0,0.2308736608402949,0.0,0.34999999999999976,0.29593649549857054,0.0,0.0,0.0
2015-10-01,0.12318984366113472,0.0,0.0,0.0,0.0,0.2308736608402949,0.0,0.34999999999999976,0.29593649549857054,0.0,0.0,0.0
2015-11-01,0.12318984366113472,0.0,0.0,0.0,0.0,0.2308736608402949,0.0,0.34999999999999976,0.29593649549857054,0.0,0.0,0.0
2015-12-01,0.1231898436611362,0.0,0.0,0.0,0.0,0.23087366084029548,0.0,0.35,0.2959364954985683,0.0,0.0,0.0
2016-01-01,0.12318984366113574,0.0,0.0,0.0,0.0,0.23087366084029554,0.0,0.35000000000000003,0.2959364954985687,0.0,0.0,0.0
2016-02-01,0.1231898436611343,0.0,0.0,0.0,0.0,0.23087366084029506,0.0,0.3500000000000001,0.2959364954985706,0.0,0.0,0.0
2016-03-01,0.1231898436611343,0.0,0.0,0.0,0.0,0.23087366084029506,0.0,0.3500000000000001,0.2959364954985706,0.0,0.0,0.0
2016-04-01,0.1231898436611343,0.0,0.0,0.0,0.0,0.23087366084029506,0.0,0.3500000000000001,0.2959364954985706,0.0,0.0,0.0
2016-05-01,0.1231898436611343,0.0,0.0,0.0,0.0,0.23087366084029506,0.0,0.3500000000000001,0.2959364954985706,0.0,0.0,0.0
2016-06-01,0.1231898436611343,0.0,0.0,0.0,0.0,0.23087366084029506,0.0,0.3500000000000001,0.2959364954985706,0.0,0.0,0.0
2016-07-01,0.1231898436611335,0.0,0.0,0.0,0.0,0.23087366084029493,0.0,0.35000000000000003,0.2959364954985715,0.0,0.0,0.0
2016-08-01,0.1231898436611335,0.0,0.0,0.0,0.0,0.23087366084029493,0.0,0.35000000000000003,0.2959364954985715,0.0,0.0,0.0
2016-09-01,0.12318984366113565,0.0,0.0,0.0,0.0,0.23087366084029365,0.0,0.35000000000000026,0.2959364954985705,0.0,0.0,0.0
2016-10-01,0.3500000000000012,0.0,0.0,0.0,0.0,0.23178891158733675,0.14797850249461705,0.270232585918045,0.0,0.0,0.0,0.0
2016-11-01,0.3500000000000012,0.0,0.0,0.0,0.0,0.23178891158733675,0.14797850249461705,0.270232585918045,0.0,0.0,0.0,0.0
